keyEventWhich	keyFunction	description
e	wield	Wield item [Hint]. If you previously selected a martial arts style through _ it'll revert to that MA style instead. The currently wielded item will be automatically placed in your inventory or you'll be asked if you want to drop it if there's no space left.
E	wield	Wield item [Hint]. If you previously selected a martial arts style through _ it'll revert to that MA style instead. The currently wielded item will be automatically placed in your inventory or you'll be asked if you want to drop it if there's no space left.
ESC	exit	Exit dialog or screen / Cancel
F	fireMode	Toggle attack mode of wielded item [Hint]. Fire wielded item [Hint]
f	fleet	
G	grabVehicle	Grab a nearby vehicle / Release vehicle [Hint]
g	get	Pick item(s) up [Hint]
H	help	
h	help	
I	compare	Compare two items [Hint]
i	inventory	
j	journal	missions
J	journal	missions
k	kick	Smash nearby object
l	leaveItem	Drop item [Hint]. Items to adjacent tile [Hint] also displays the inventory screen.Type the number of items you want to drop. Press again the key of the inventory item you want to divide (in some cases; this will cause the item letter to be displayed as #). Press RETURN. Mounted turrets from vehicle mods are reloaded using either of the [D]rop commands.
LEFT	moveMapViewLeft	
M	music	
m	music	
n	no	
o	options	
O	open	Open door or window [Hint]
p	pause	
P	pause	
Q	quitGame	Commit suicide [Hint]
R	read,reload	Read a book or a magazine [Hint],Reload wielded item [Hint]
r	research	
RIGH	moveMapViewRight	
S	moveDown	
s	moveDown	
Shift+B	bionics	View/Activate bionics
Shift+C	craftIndefinedly	Craft for as long as possible
Shift+F	fireWielded	Burst-fire wielded item [Hint]
Shift+G	goToSpawn	
Shift+K	keys	
Shift+L	login/logout	
Shift+M	viewMessages	View message log
Shift+S	sorceries	
Shift+V	listEnemies	List all items/creatures around the player [Hint]
SPACE	pickOrSearchNearest	Pick or search object
T	treatmentsModal	diplomacy
t	takeOut	Throw item [Hint] / Take off worn item
U	unWield	Unload or empty wielded or nearby item [Hint]
u	use	eat, drink or consume item [Hint]. Apply or use currently wielded item. Apply or use an item [Hint]
UP	moveMapViewUp	
V	vehicleHandbrake	Vehicle handbrake [Hint]
v	viewMorale	
w	moveUp	
W	moveUp	
X	examine	Peek around corners
x	examine	Examine or interact with nearby world object [Hint].
y	developerSwitch	also yes
z	toggleStats	
